Source,Target,Weight
ecology,physics,16
ecology,power (physics),4
ecology,quantum mechanics,8
ecology,smart grid,9
ecology,sustainability,86
ecology,world wide web,32
electrical engineering,engineering,234
electrical engineering,mechanical engineering,19
electrical engineering,metering mode,5
electrical engineering,physics,65
electrical engineering,power (physics),51
electrical engineering,quantum mechanics,57
electrical engineering,reliability (semiconductor),9
electrical engineering,smart grid,101
electrical engineering,sustainability,8
electrical engineering,world wide web,31
engineering,mechanical engineering,209
engineering,metering mode,6
engineering,open research,16
engineering,reliability (semiconductor),20
engineering,salient,3
engineering,smart grid,103
engineering,sustainability,42
engineering,world wide web,201
mechanical engineering,metering mode,6
mechanical engineering,open research,6
mechanical engineering,physics,29
mechanical engineering,power (physics),9
mechanical engineering,quantum mechanics,13
mechanical engineering,reliability (semiconductor),4
mechanical engineering,smart grid,11
mechanical engineering,sustainability,5
mechanical engineering,world wide web,50
metering mode,physics,3
metering mode,smart grid,5
open research,physics,11
open research,power (physics),3
open research,quantum mechanics,5
open research,reliability (semiconductor),3
open research,world wide web,60
physics,reliability (semiconductor),39
physics,salient,3
physics,smart grid,37
physics,sustainability,7
physics,world wide web,92
power (physics),reliability (semiconductor),39
power (physics),smart grid,32
power (physics),world wide web,14
quantum mechanics,reliability (semiconductor),39
quantum mechanics,smart grid,34
quantum mechanics,world wide web,34
reliability (semiconductor),smart grid,6
reliability (semiconductor),world wide web,6
smart grid,sustainability,3
smart grid,world wide web,18
sustainability,world wide web,17
artificial intelligence,data science,508
artificial intelligence,machine learning,453
computer science,data science,1289
computer science,machine learning,551
computer security,data science,577
computer security,machine learning,239
data science,machine learning,166
artificial intelligence,deep learning,183
artificial intelligence,denial-of-service attack,28
artificial intelligence,network security,32
artificial intelligence,the internet,161
computer science,deep learning,183
computer science,denial-of-service attack,54
computer science,network security,53
computer science,the internet,480
computer security,deep learning,84
computer security,denial-of-service attack,44
computer security,network security,50
computer security,the internet,362
deep learning,denial-of-service attack,6
deep learning,internet of things,20
deep learning,network security,11
deep learning,the internet,29
deep learning,world wide web,33
denial-of-service attack,internet of things,10
denial-of-service attack,network security,10
denial-of-service attack,the internet,53
denial-of-service attack,world wide web,42
internet of things,network security,10
internet of things,the internet,116
internet of things,world wide web,154
network security,the internet,23
network security,world wide web,23
the internet,world wide web,457
computer science,key (lock),229
computer science,malware,143
computer science,ransomware,57
computer security,key (lock),215
computer security,malware,136
computer security,ransomware,55
internet of things,key (lock),34
internet of things,malware,8
internet of things,operating system,111
internet of things,ransomware,4
internet of things,software deployment,26
internet privacy,key (lock),33
internet privacy,malware,38
internet privacy,operating system,115
internet privacy,ransomware,22
internet privacy,software deployment,17
key (lock),malware,12
key (lock),operating system,55
key (lock),ransomware,6
key (lock),software deployment,17
malware,operating system,43
malware,ransomware,57
malware,software deployment,5
operating system,ransomware,17
anomaly detection,artificial intelligence,69
anomaly detection,computer science,88
anomaly detection,data science,17
anomaly detection,deep learning,19
anomaly detection,intrusion detection system,39
anomaly detection,machine learning,46
anomaly detection,open research,3
anomaly detection,software deployment,6
anomaly detection,world wide web,13
artificial intelligence,intrusion detection system,131
artificial intelligence,software engineering,54
computer science,intrusion detection system,177
computer science,software engineering,161
data science,deep learning,65
data science,intrusion detection system,22
data science,open research,50
data science,software deployment,48
data science,software engineering,69
data science,world wide web,358
deep learning,intrusion detection system,48
deep learning,machine learning,138
deep learning,open research,3
deep learning,software deployment,11
deep learning,software engineering,6
intrusion detection system,machine learning,96
intrusion detection system,open research,6
intrusion detection system,software deployment,12
intrusion detection system,software engineering,4
intrusion detection system,world wide web,46
machine learning,open research,8
machine learning,software deployment,15
machine learning,software engineering,14
machine learning,world wide web,106
open research,software deployment,6
open research,software engineering,5
software deployment,software engineering,59
software deployment,world wide web,28
software engineering,world wide web,33
business,harm,29
business,marketing,356
business,medical emergency,15
business,medicine,238
business,service (business),76
computer science,harm,43
computer science,marketing,323
computer science,medical emergency,22
computer science,medicine,633
computer science,service (business),83
computer security,harm,30
computer security,marketing,142
computer security,medical emergency,15
computer security,medicine,290
computer security,service (business),52
harm,health care,11
harm,internet privacy,19
harm,law,42
harm,marketing,5
harm,medicine,12
harm,political science,43
health care,internet privacy,124
health care,marketing,43
health care,medical emergency,19
health care,medicine,228
health care,service (business),9
internet privacy,law,291
internet privacy,marketing,66
internet privacy,medical emergency,11
internet privacy,medicine,151
internet privacy,political science,347
internet privacy,service (business),18
law,marketing,118
law,medical emergency,14
law,medicine,318
law,service (business),20
marketing,medicine,60
marketing,political science,147
marketing,service (business),74
medical emergency,medicine,28
medical emergency,political science,15
medicine,political science,359
medicine,service (business),12
political science,service (business),30
artificial intelligence,epistemology,90
artificial intelligence,field (mathematics),105
artificial intelligence,generative grammar,114
artificial intelligence,mathematics,251
artificial intelligence,personalization,9
artificial intelligence,philosophy,183
artificial intelligence,pure mathematics,105
artificial intelligence,quality (philosophy),31
computer science,epistemology,242
computer science,field (mathematics),208
computer science,generative grammar,114
computer science,mathematics,572
computer science,personalization,29
computer science,philosophy,483
computer science,pure mathematics,211
computer science,quality (philosophy),72
data science,epistemology,89
data science,field (mathematics),130
data science,generative grammar,39
data science,knowledge management,284
data science,mathematics,233
data science,personalization,12
data science,philosophy,143
data science,physics,103
data science,power (physics),12
data science,pure mathematics,127
data science,quality (philosophy),32
data science,quantum mechanics,40
data science,reliability (semiconductor),6
epistemology,field (mathematics),26
epistemology,generative grammar,11
epistemology,knowledge management,69
epistemology,mathematics,45
epistemology,philosophy,261
epistemology,physics,27
epistemology,power (physics),9
epistemology,pure mathematics,26
epistemology,quality (philosophy),71
epistemology,quantum mechanics,16
epistemology,reliability (semiconductor),3
epistemology,world wide web,38
field (mathematics),generative grammar,12
field (mathematics),knowledge management,42
field (mathematics),mathematics,202
field (mathematics),personalization,3
field (mathematics),philosophy,34
field (mathematics),physics,22
field (mathematics),power (physics),4
field (mathematics),pure mathematics,202
field (mathematics),quality (philosophy),9
field (mathematics),quantum mechanics,13
field (mathematics),reliability (semiconductor),4
field (mathematics),world wide web,48
generative grammar,knowledge management,24
generative grammar,mathematics,16
generative grammar,philosophy,17
generative grammar,physics,8
generative grammar,power (physics),3
generative grammar,pure mathematics,11
generative grammar,quantum mechanics,4
generative grammar,reliability (semiconductor),3
generative grammar,world wide web,8
knowledge management,mathematics,69
knowledge management,personalization,13
knowledge management,philosophy,103
knowledge management,physics,55
knowledge management,power (physics),5
knowledge management,pure mathematics,44
knowledge management,quality (philosophy),30
knowledge management,quantum mechanics,15
knowledge management,reliability (semiconductor),4
knowledge management,world wide web,142
mathematics,personalization,3
mathematics,philosophy,80
mathematics,physics,91
mathematics,power (physics),40
mathematics,pure mathematics,215
mathematics,quality (philosophy),16
mathematics,quantum mechanics,61
mathematics,reliability (semiconductor),16
mathematics,world wide web,122
personalization,philosophy,3
personalization,world wide web,24
philosophy,physics,55
philosophy,power (physics),15
philosophy,pure mathematics,36
philosophy,quality (philosophy),71
philosophy,quantum mechanics,31
philosophy,reliability (semiconductor),4
philosophy,world wide web,103
physics,pure mathematics,25
physics,quality (philosophy),12
power (physics),pure mathematics,4
power (physics),quality (philosophy),3
pure mathematics,quality (philosophy),10
pure mathematics,quantum mechanics,15
pure mathematics,reliability (semiconductor),4
pure mathematics,world wide web,46
quality (philosophy),quantum mechanics,6
quality (philosophy),reliability (semiconductor),3
quality (philosophy),world wide web,15
computer science,telecommunications,252
computer science,transmission (telecommunications),6
computer science,wireless,75
computer security,telecommunications,170
computer security,transmission (telecommunications),5
computer security,wireless,53
key (lock),open research,17
key (lock),telecommunications,31
key (lock),wireless,12
key (lock),world wide web,60
open research,telecommunications,15
open research,wireless,6
telecommunications,transmission (telecommunications),6
telecommunications,wireless,74
telecommunications,world wide web,79
wireless,world wide web,21
big data,computer science,358
big data,computer security,167
big data,data mining,223
big data,data security,13
big data,encryption,17
computer science,data mining,507
computer science,data security,47
computer science,encryption,143
computer security,data mining,229
computer security,data security,47
computer security,encryption,139
data mining,data security,11
data mining,encryption,27
data security,encryption,39
archaeology,artificial intelligence,31
archaeology,computer science,134
archaeology,computer security,60
archaeology,engineering,49
archaeology,engineering management,6
archaeology,history,59
archaeology,law,64
archaeology,mechanical engineering,10
archaeology,operating system,27
archaeology,plan (archaeology),8
archaeology,political science,75
archaeology,process (computing),9
artificial intelligence,automation,38
artificial intelligence,engineering management,38
artificial intelligence,history,15
artificial intelligence,process (computing),85
automation,computer science,72
automation,computer security,45
automation,engineering,69
automation,engineering management,10
automation,law,12
automation,mechanical engineering,66
automation,operating system,24
automation,political science,14
automation,process (computing),10
computer science,engineering management,91
computer science,history,59
computer science,plan (archaeology),9
computer science,process (computing),215
computer security,engineering management,37
computer security,history,26
computer security,plan (archaeology),6
computer security,process (computing),115
engineering,engineering management,90
engineering,history,23
engineering,law,405
engineering,operating system,267
engineering,plan (archaeology),4
engineering,political science,494
engineering,process (computing),94
engineering management,history,3
engineering management,law,30
engineering management,mechanical engineering,22
engineering management,operating system,29
engineering management,plan (archaeology),4
engineering management,political science,32
engineering management,process (computing),10
history,law,28
history,operating system,9
history,plan (archaeology),6
history,political science,33
law,mechanical engineering,69
law,plan (archaeology),3
law,process (computing),62
mechanical engineering,operating system,54
mechanical engineering,political science,83
mechanical engineering,process (computing),25
operating system,process (computing),207
plan (archaeology),political science,4
political science,process (computing),66
artificial intelligence,control (management),76
artificial intelligence,cyber-physical system,21
artificial intelligence,perspective (graphical),103
computer science,control (management),81
computer science,cyber-physical system,78
computer science,perspective (graphical),106
computer security,control (management),53
computer security,cyber-physical system,64
computer security,perspective (graphical),44
control (management),cyber-physical system,5
control (management),law,16
control (management),operating system,22
control (management),political science,18
cyber-physical system,law,12
cyber-physical system,operating system,77
cyber-physical system,political science,12
law,perspective (graphical),29
operating system,perspective (graphical),18
perspective (graphical),political science,38
computer science,geometry,115
computer science,information retrieval,61
computer science,public-key cryptography,18
computer science,theoretical computer science,37
computer security,geometry,60
computer security,information retrieval,16
computer security,mathematics,285
computer security,public-key cryptography,17
computer security,theoretical computer science,28
encryption,geometry,4
encryption,key (lock),17
encryption,mathematics,24
encryption,public-key cryptography,18
encryption,theoretical computer science,11
encryption,world wide web,32
geometry,information retrieval,3
geometry,key (lock),8
geometry,mathematics,119
geometry,theoretical computer science,5
geometry,world wide web,22
information retrieval,mathematics,17
information retrieval,world wide web,30
key (lock),mathematics,43
key (lock),public-key cryptography,7
key (lock),theoretical computer science,6
mathematics,public-key cryptography,4
mathematics,theoretical computer science,12
public-key cryptography,theoretical computer science,6
public-key cryptography,world wide web,4
theoretical computer science,world wide web,4
artificial intelligence,botany,59
artificial intelligence,cloud computing,75
artificial intelligence,cyber threats,5
artificial intelligence,home automation,4
artificial intelligence,interconnectivity,7
artificial intelligence,taxonomy (biology),25
artificial intelligence,telecommunications,62
biology,botany,132
biology,cloud computing,35
biology,cyber threats,6
biology,cyber-physical system,10
biology,home automation,3
biology,operating system,162
biology,taxonomy (biology),49
biology,telecommunications,45
botany,cloud computing,3
botany,computer science,127
botany,computer security,70
botany,cyber threats,4
botany,internet of things,14
botany,internet privacy,23
botany,operating system,25
botany,taxonomy (biology),41
botany,telecommunications,8
cloud computing,computer science,300
cloud computing,computer security,227
cloud computing,cyber-physical system,7
cloud computing,home automation,3
cloud computing,internet of things,55
cloud computing,internet privacy,44
cloud computing,operating system,285
cloud computing,telecommunications,33
computer science,cyber threats,49
computer science,home automation,13
computer science,interconnectivity,7
computer science,taxonomy (biology),51
computer security,cyber threats,49
computer security,home automation,12
computer security,interconnectivity,3
computer security,taxonomy (biology),29
cyber threats,cyber-physical system,7
cyber threats,internet of things,6
cyber threats,internet privacy,15
cyber threats,operating system,12
cyber threats,telecommunications,5
cyber-physical system,internet of things,5
cyber-physical system,internet privacy,3
cyber-physical system,telecommunications,9
home automation,internet of things,8
home automation,internet privacy,9
home automation,operating system,5
home automation,telecommunications,12
interconnectivity,telecommunications,3
internet of things,taxonomy (biology),5
internet of things,telecommunications,54
internet privacy,taxonomy (biology),7
internet privacy,telecommunications,38
operating system,taxonomy (biology),7
operating system,telecommunications,86
computer science,systems engineering,122
engineering,systems engineering,121
algorithm,business,34
algorithm,computer science,164
algorithm,computer security,78
algorithm,current (fluid),4
algorithm,electrical engineering,10
algorithm,engineering,40
algorithm,risk analysis (engineering),11
algorithm,state (computer science),76
business,current (fluid),8
business,electrical engineering,77
business,state (computer science),28
computer science,current (fluid),23
computer science,state (computer science),91
computer security,current (fluid),12
computer security,state (computer science),47
current (fluid),electrical engineering,26
current (fluid),engineering,26
current (fluid),state (computer science),4
electrical engineering,risk analysis (engineering),38
electrical engineering,state (computer science),5
engineering,state (computer science),27
risk analysis (engineering),state (computer science),11
business,public relations,259
business,qualitative research,37
business,social science,97
business,sociology,213
business,stakeholder,36
business,thematic analysis,15
business,vendor,7
computer science,public relations,318
computer science,qualitative research,61
computer science,social science,189
computer science,sociology,478
computer science,stakeholder,37
computer science,thematic analysis,28
computer science,vendor,6
computer security,public relations,129
computer security,qualitative research,21
computer security,social science,80
computer security,sociology,165
computer security,stakeholder,15
computer security,thematic analysis,9
computer security,vendor,4
internet privacy,public relations,118
internet privacy,qualitative research,9
internet privacy,social science,36
internet privacy,sociology,89
internet privacy,stakeholder,5
internet privacy,thematic analysis,6
internet privacy,vendor,3
marketing,public relations,66
marketing,qualitative research,18
marketing,social science,37
marketing,sociology,62
marketing,stakeholder,7
marketing,thematic analysis,3
marketing,vendor,7
political science,public relations,410
political science,qualitative research,45
political science,social science,117
political science,sociology,405
political science,stakeholder,42
political science,thematic analysis,24
political science,vendor,3
public relations,qualitative research,22
public relations,social science,50
public relations,sociology,171
public relations,stakeholder,42
public relations,thematic analysis,14
public relations,vendor,3
qualitative research,social science,68
qualitative research,sociology,68
qualitative research,stakeholder,6
qualitative research,thematic analysis,32
social science,sociology,219
social science,stakeholder,7
social science,thematic analysis,30
sociology,stakeholder,15
sociology,thematic analysis,35
stakeholder,thematic analysis,4
agriculture,data science,9
agriculture,emerging technologies,6
agriculture,law,10
agriculture,political science,11
agriculture,world wide web,7
artificial intelligence,emerging technologies,81
artificial intelligence,interoperability,10
artificial intelligence,medline,39
artificial intelligence,systematic review,29
biology,data science,244
biology,emerging technologies,19
biology,interoperability,23
biology,law,238
biology,medline,25
biology,political science,262
biology,systematic review,16
computer science,emerging technologies,88
computer science,interoperability,104
computer science,medline,110
computer science,systematic review,73
data science,ecology,38
data science,emerging technologies,33
data science,interoperability,56
data science,law,312
data science,medline,63
data science,political science,347
data science,precision agriculture,3
data science,systematic review,43
ecology,emerging technologies,10
ecology,interoperability,8
ecology,law,75
ecology,medline,8
ecology,political science,83
ecology,systematic review,3
emerging technologies,law,26
emerging technologies,political science,37
emerging technologies,precision agriculture,4
emerging technologies,world wide web,20
interoperability,law,25
interoperability,medline,3
interoperability,political science,28
interoperability,world wide web,87
law,medline,126
law,systematic review,81
law,world wide web,252
medline,political science,130
medline,systematic review,83
medline,world wide web,28
political science,precision agriculture,3
political science,systematic review,83
political science,world wide web,289
systematic review,world wide web,16
artificial intelligence,data mining,272
artificial intelligence,economics,176
artificial intelligence,feature (linguistics),31
artificial intelligence,feature engineering,6
artificial intelligence,feature selection,25
artificial intelligence,geochemistry,15
artificial intelligence,geology,24
artificial intelligence,intrusion,17
artificial intelligence,linguistics,91
artificial intelligence,management,30
artificial intelligence,task (project management),18
computer science,economics,552
computer science,feature (linguistics),35
computer science,feature engineering,6
computer science,feature selection,25
computer science,geochemistry,22
computer science,geology,44
computer science,intrusion,24
computer science,linguistics,232
computer science,management,89
computer science,task (project management),38
computer security,economics,240
computer security,feature (linguistics),20
computer security,feature engineering,4
computer security,feature selection,12
computer security,geochemistry,16
computer security,geology,22
computer security,intrusion,18
computer security,intrusion detection system,129
computer security,linguistics,116
computer security,management,33
computer security,philosophy,211
computer security,task (project management),25
data mining,deep learning,60
data mining,economics,68
data mining,feature (linguistics),23
data mining,feature selection,20
data mining,geochemistry,8
data mining,geology,12
data mining,intrusion,8
data mining,intrusion detection system,81
data mining,linguistics,37
data mining,machine learning,192
data mining,management,10
data mining,network security,20
data mining,philosophy,58
data mining,task (project management),8
deep learning,economics,15
deep learning,feature (linguistics),12
deep learning,feature engineering,6
deep learning,feature selection,6
deep learning,geochemistry,3
deep learning,geology,6
deep learning,intrusion,4
deep learning,linguistics,13
deep learning,management,5
deep learning,philosophy,19
deep learning,task (project management),7
economics,geology,5
economics,intrusion detection system,6
economics,linguistics,52
economics,machine learning,70
economics,management,113
economics,network security,4
economics,philosophy,107
economics,task (project management),13
feature (linguistics),feature engineering,3
feature (linguistics),feature selection,14
feature (linguistics),intrusion detection system,16
feature (linguistics),linguistics,34
feature (linguistics),machine learning,28
feature (linguistics),network security,4
feature (linguistics),philosophy,34
feature engineering,intrusion detection system,3
feature engineering,linguistics,3
feature engineering,machine learning,5
feature engineering,philosophy,3
feature selection,intrusion detection system,17
feature selection,linguistics,14
feature selection,machine learning,23
feature selection,network security,4
feature selection,philosophy,14
geochemistry,geology,22
geochemistry,intrusion,22
geochemistry,intrusion detection system,21
geochemistry,machine learning,8
geochemistry,network security,4
geology,intrusion,22
geology,intrusion detection system,21
geology,machine learning,15
geology,network security,4
geology,philosophy,4
intrusion,intrusion detection system,23
intrusion,machine learning,10
intrusion,network security,5
intrusion detection system,linguistics,19
intrusion detection system,management,4
intrusion detection system,network security,29
intrusion detection system,philosophy,23
intrusion detection system,task (project management),3
linguistics,machine learning,41
linguistics,management,12
linguistics,network security,4
linguistics,philosophy,266
linguistics,task (project management),4
machine learning,management,13
machine learning,network security,25
machine learning,philosophy,63
machine learning,task (project management),9
management,philosophy,26
management,task (project management),12
network security,philosophy,4
philosophy,task (project management),6
analytics,artificial intelligence,33
analytics,blockchain,6
analytics,computer science,138
analytics,computer security,55
analytics,data science,136
analytics,database,7
analytics,internet of things,17
analytics,scalability,4
analytics,the internet,14
analytics,variety (cybernetics),3
analytics,world wide web,39
artificial intelligence,blockchain,55
artificial intelligence,database,68
artificial intelligence,scalability,32
blockchain,computer science,303
blockchain,computer security,302
blockchain,data science,87
blockchain,database,54
blockchain,internet of things,56
blockchain,scalability,41
blockchain,the internet,36
blockchain,variety (cybernetics),7
blockchain,world wide web,70
computer science,database,231
computer science,scalability,115
computer security,database,146
computer security,scalability,91
data science,database,105
data science,internet of things,110
data science,scalability,51
data science,the internet,108
data science,variety (cybernetics),44
database,internet of things,22
database,scalability,102
database,the internet,19
database,variety (cybernetics),6
database,world wide web,68
internet of things,scalability,19
scalability,the internet,18
scalability,variety (cybernetics),3
scalability,world wide web,35
the internet,variety (cybernetics),14
variety (cybernetics),world wide web,24
alternative medicine,analytics,10
alternative medicine,big data,31
alternative medicine,business,78
alternative medicine,computer science,223
alternative medicine,computer security,134
alternative medicine,confidentiality,22
alternative medicine,data science,118
alternative medicine,data sharing,177
alternative medicine,economic growth,22
alternative medicine,economics,42
alternative medicine,health care,64
alternative medicine,information privacy,56
alternative medicine,internet privacy,65
alternative medicine,medicine,244
alternative medicine,open data,23
alternative medicine,operating system,52
alternative medicine,pathology,243
alternative medicine,popularity,4
alternative medicine,psychology,44
alternative medicine,social psychology,10
alternative medicine,transparency (behavior),25
alternative medicine,world wide web,82
analytics,big data,72
analytics,business,51
analytics,data sharing,7
analytics,economic growth,14
analytics,economics,19
analytics,health care,23
analytics,information privacy,14
analytics,internet privacy,22
analytics,medicine,21
analytics,operating system,39
analytics,pathology,12
analytics,psychology,19
analytics,social media,5
analytics,social psychology,6
analytics,transparency (behavior),12
big data,business,127
big data,confidentiality,21
big data,data science,268
big data,data sharing,33
big data,economic growth,47
big data,economics,71
big data,health care,81
big data,information privacy,65
big data,internet privacy,58
big data,medicine,70
big data,open data,10
big data,operating system,154
big data,pathology,47
big data,psychology,36
big data,social media,13
big data,social psychology,13
big data,transparency (behavior),34
big data,world wide web,88
business,confidentiality,47
business,data science,306
business,data sharing,72
business,economic growth,128
business,economics,343
business,information privacy,137
business,open data,25
business,pathology,132
business,popularity,14
business,psychology,177
business,social media,18
business,social psychology,65
business,world wide web,293
computer science,confidentiality,114
computer science,data sharing,182
computer science,economic growth,234
computer science,information privacy,324
computer science,open data,49
computer science,pathology,342
computer science,popularity,42
computer science,psychology,650
computer science,social media,61
computer science,social psychology,193
computer security,confidentiality,107
computer security,data sharing,104
computer security,economic growth,116
computer security,information privacy,263
computer security,open data,17
computer security,pathology,167
computer security,popularity,29
computer security,psychology,226
computer security,social media,19
computer security,social psychology,86
confidentiality,data science,31
confidentiality,data sharing,21
confidentiality,economic growth,9
confidentiality,economics,15
confidentiality,health care,22
confidentiality,information privacy,42
confidentiality,internet privacy,58
confidentiality,medicine,33
confidentiality,operating system,33
confidentiality,pathology,22
confidentiality,psychology,18
confidentiality,social media,4
confidentiality,social psychology,5
confidentiality,transparency (behavior),13
confidentiality,world wide web,25
data science,data sharing,112
data science,economic growth,88
data science,economics,162
