Id,Frequency
Miroslav Bureš,2
Robert Atkinson,2
Christos Tachtatzis,2
Xavier Bellekens,2
Muath Obaidat,2
Suhaib Obeidat,1
Jennifer Holst,1
Abdullah Al Hayajneh,1
Joseph M. Brown,1
Muhammad Mohsin Khan,1
Noman Shah,1
Nissar Shaikh,1
Abdulnasser Thabet,1
Talal Alrabayah,1
Sirajeddin Belkhair,1
Jeremy Y. Ng,1
L. Susan Wieland,1
Myeong Soo Lee,1
Jianping Liu,1
Claudia M. Witt,1
David Moher,1
Holger Cramer,1
Yang-Wai Chow,1
Willy Susilo,1
Yannan Li,1
Nan Li,1
Chau Nguyen,1
A. G. Sreedevi,1
Talluri Harshitha,1
Vijayan Sugumaran,1
P. Shankar,1
Alfredo Cuzzocrea,1
Il‐Yeol Song,1
Dario Stabili,2
Mirco Marchetti,3
Michele Colajanni,2
Dimple Patel,1
Raja Wasim Ahmad,2
Haya R. Hasan,1
Raja Jayaraman,4
Khaled Salah,8
Mohammed Omar,2
Rui Zhang,2
Rui Xue,1
Ling Liu,1
Tao Hu,1
Siqin Wang,1
Bing She,1
Mengxi Zhang,1
Xiao Huang,1
Yunhe Cui,1
Jacob Khuri,1
Yaxin Hu,1
Xiaokang Fu,1
Xiaoyue Wang,2
Peixiao Wang,1
Xinyan Zhu,1
Shuming Bao,1
Weihe Wendy Guan,1
Zhenlong Li,1
Anita S. Jwa,2
Russell A. Poldrack,2
Christine L. Borgman,2
Mohammad Ahmed Alomari,1
Mohammed Nasser Al-Andoli,1
Mukhtar Ghaleb,1
Reema Thabit,1
Gamal Alkawsi,2
Jamil Abedalrahim Jamil Alsayaydeh,1
Abdulguddoos S. A. Gaid,1
Malik Sallam,5
Paul Benjamin Lowry,2
Clay Posey,2
Rebecca J. Bennett,2
Tom Roberts,1
Venkatesh Venkataramanan,2
Anurag K. Srivastava,2
Adam Hahn,1
Juan-José Bóte-Vericad,1
Miquel Térmens i Graells,1
Joshua A. Gerlick,2
Stephan M. Liozu,2
Rui Liu,1
Pengwei Xing,1
Zichao Deng,1
Anran Li,1
Cuntai Guan,1
Hind Bangui,1
Barbora Bühnová,1
Deepak Puthal,4
Saraju P. Mohanty,1
Priyadarsi Nanda,2
Uma Choppali,1
Jue Tian,1
Rui Tan,1
Xiaohong Guan,2
Zhanbo Xu,2
Ting Liu,1
Carmen Elena Cîrnu,1
Carmen-Ionela ROTUNĂ,1
Adrian Victor VEVERA,1
Radu Boncea,1
Deepak K. Tosh,1
Sachin Shetty,2
Shamik Sengupta,3
Jay P. Kesan,1
Charles Kamhoua,2
Syed Wasif Abbas Hamdani,1
Haider Abbas,2
Abdul Rehman Janjua,1
Waleed Bin Shahid,1
Muhammad Faisal Amjad,1
Jahanzaib Malik,1
Malik Hamza Murtaza,1
Mohammed Atiquzzaman,3
Abdul Waheed Khan,1
Ouissem Ben Fredj,1
Alaeddine Mihoub,1
Moez Krichen,6
Omar Cheikhrouhou,4
Kushankur Dey,1
Umedsingh Shekhawat,1
Bo Yang,1
Xuelin Cao,1
Kai Xiong,1
Chau Yuen,3
Yong Liang Guan,1
Supeng Leng,1
Lijun Qian,1
Zhu Han,2
Yien Wang,1
Jianhua Yang,1
Muteeb Bin Muzammil,1
Muhammad Bilal,1
Sahar Ajmal,1
Sandile Charles Shongwe,1
Yazeed Yasin Ghadi,5
Yuchuan Fu,1
F. Richard Yu,1
Changle Li,2
Tom H. Luan,4
Yao Zhang,1
Dominik Molitor,2
Wullianallur Raghupathi,2
Aditya Saharia,2
Viju Raghupathi,2
Jin‐Li Hu,1
Yi-Chou Chen,1
Ya‐Po Yang,1
Rui Song,1
Shang Gao,1
Yubo Song,1
Bin Xiao,1
Sanjay Vijay Mhaskey,1
Jagger S. Bellagarda,1
Adnan M. Abu‐Mahfouz,5
Büşra Büyüktanır,1
Şahsene Altınkaya,2
Gozde Karatas Baydoğmus,1
Kazım Yıldız,2
Subhankar Maity,1
Manob Jyoti Saikia,1
Shahnawaz Ahmad,1
Iman Shakeel,1
Shabana Mehfuz,1
Javed Ahmad,1
Manu Bijone,1
Enkelejda Kasneci,1
Kathrin Seßler,1
Stefan Küchemann,1
Maria Bannert,1
Daryna Dementieva,1
Frank Fischer,1
Urs Gasser,4
Georg Groh,1
Stephan Günnemann,1
Eyke Hüllermeier,1
Stephan Krusche,1
Gitta Kutyniok,1
Tilman Michaeli,1
Claudia Nerdel,1
Jürgen Pfeffer,1
Oleksandra Poquet,1
Michael Sailer,1
Albrecht Schmidt,1
Tina Seidel,1
Matthias Stadler,1
J. Weller,1
Jochen Kühn,1
Gjergji Kasneci,1
Andrei Palade,1
Aqeel Kazmi,1
Siobhán Clarke,1
Roza Vasileva,2
Lucélia Rodrigues,2
Nancy Hughes,2
Chris Greenhalgh,2
Murray Goulden,2
Jeni Tennison,2
Jorge Chamorro-Padial,1
Roberto Garcı́a,1
Rosa Gil,1
Md Mashrur Arifin,1
Md Shoaib Ahmed,1
Tanmai Kumar Ghosh,1
"Udoy, Ikteder Akhand",1
Jun Zhuang,2
Jyh-haw Yeh,1
Mikael Weissmann,1
Niklas Nilsson,1
Björn Palmertz,1
Per Thunholm,1
Lavanya Addepalli,2
Lokhande Gaurav,3
S. Sindhuja,2
Hussain Seam,1
Mookerjee Joydeep,1
Vamsi Uppalapati,1
Waqas Ali,4
VidyaSagar S.D,1
Saranya Chandran,1
Sreelakshmi R Syam,1
Sriram Sankaran,2
Tulika Pandey,1
Krishnashree Achuthan,4
Isaac Adinoyi Salami,1
Temilade Oluwatoyin Adesokan-Imran,1
Olufisayo Juliana Tiwo,1
Olufunke Cynthia Metibemu,1
Abayomi Titilola Olutimehin,1
Oluwaseun Oladeji Olaniyi,9
Taewoo Nam,1
Muhammad Ajmal Azad,2
Sidrah Abdullah,1
Junaid Arshad,3
Harjinder Singh Lallie,2
Yussuf Ahmed,1
Joseph Migga Kizza,1
Friedrich Krotz,1
Heidi Schelhowe,1
Maria Virvou,1
Dimiter Velev,1
Пламена Златева,1
Jessica Pater,1
Casey Fiesler,2
Michael Zimmer,1
Nuno Bandeira,1
Eric W. Deutsch,1
Oliver Kohlbacher,3
Lennart Martens,1
Juan Antonio Vizcaíno,1
Hubert Szczepaniuk,1
Edyta Karolina Szczepaniuk,1
Sunawar Khan,2
Tehseen Mazhar,8
Tariq Shahzad,6
Muhammad Amir Khan,4
Ateeq Ur Rehman,2
Mamoon M. Saeed,3
Habib Hamam,8
Laura DeNardis,2
Derrick L. Cogburn,1
Nanette S. Levinson,1
Francesca Musiani,2
Maria Petrescu,1
Anjala S. Krishen,2
Onyebuchi Nneamaka Chisom,3
Preye Winston Biu,2
Aniekan Akpan Umoh,2
Bartholomew Obehioye Obaedo,1
Abimbola Oluwatoyin Adegbite,4
Ayodeji Abatan,2
Aisha Zahid Huriye,1
Iqbal H. Sarker,13
A. S. M. Kayes,5
Shahriar Badsha,1
Hamed Alqahtani,1
Paul Watters,7
Alex Ng,2
Mohammed B. E. Saaida,1
Pedro Miguel Sánchez Sánchez,2
Alberto Huertas Celdrán,2
Ning Xie,1
Gérôme Bovet,1
Gregorio Martínez Pérez,3
Burkhard Stiller,1
Sean Vucinich,1
Qiang Zhu,1
Sigurd Frej Joel Jørgensen Ankergård,1
Edlira Dushku,1
Nicola Dragoni,4
Matthias H. J. Gouthier,1
Carina Nennstiel,1
Nora Kern,1
Lars Wendel,1
Aishatu Eleojo Adaji,1
Sara Gerke,4
Timo Minssen,5
Glenn Cohen,2
Harry Crane,1
Judith Mavodza,1
Charankumar Akiri,1
Kshitiz Aryal,1
Eli Parker,1
Lopamudra Praharaj,1
Christine Milchram,1
Rolf Künneke,1
Neelke Doorn,1
Geerten van de Kaa,1
Rafaela Hillerbrand,1
Zia ur Rehman,1
Saud Altaf,1
Saleem Iqbal,1
Fadhila Tlili,1
Samiha Ayed,1
Lamia Chaari Fourati,1
Adam G. Dunn,2
Enrico Coiera,4
Kenneth D. Mandl,2
Zhijun Guo,2
Alvina G. Lai,2
Johan H. Thygesen,2
Joseph Farrington,2
Thomas Keen,2
Kezhi Li,2
Vinh Vo,1
Gang Chen,1
Yves Saint James Aquino,1
Stacy M. Carter,3
Quynh Nga,1
Maame Esi Woode,1
Lei Hang,2
Chun Chen,1
Linchao Zhang,1
Jun Yang,1
Tyler Moore,3
Minh K. Quan,1
Pubudu N. Pathirana,4
Mayuri Wijayasundara,1
Sujeeva Setunge,1
Dinh C. Nguyen,4
Christopher G. Brinton,1
David J. Love,1
H. Vincent Poor,6
D. Dhinakaran,1
S. Edwin Raja,1
J. Jeno Jasmine,1
P. Vimal Kumar,1
R. Ramani,1
May Bashendy,1
Ashraf Tantawy,1
Abdelkarim Erradi,1
Abdullah Ayub Khan,3
Aftab Ahmed Shaikh,1
Asif Ali Laghari,4
Mazhar Ali Dootio,1
Muhammad Malook Rind,1
Shafique Ahmed Awan,1
Carsten Maple,8
Łukasz Szpruch,1
Gregory Epiphaniou,3
Kalina Staykova,1
S. Basanta Singh,1
William Penwarden,1
"Wen, Yisi",1
Zijian Wang,1
Jagdish Hariharan,1
Pavle Avramović,1
Kathryn Merrick,1
Hendradi Hardhienata,1
Kamran Shafi,1
Jiankun Hu,5
Okechukwu Paul-Chima Ugwu,1
Esther Ugo Alum,1
Jovita Nnenna Ugwu,1
Val Hyginus Udoka Eze,1
Chinyere N. Ugwu,1
Fabian C. Ogenyi,1
Michael Ben Okon,1
Ali H. Al‐Hoorie,1
Carlo Cinaglia,1
Phil Hiver,1
Amanda Huensch,1
Daniel R. Isbell,1
Constant Leung,1
Ekaterina Sudina,1
Chalee Thammarat,1
Werasak Kurutach,1
Yitian Zhang,1
Yuming Tang,1
Zijian Zhang,2
Meng Li,1
Zhen Li,4
Salabat Khan,1
Huaping Chen,1
Guoqiang Cheng,1
Nitin Liladhar Rane,6
Michael Kearns,1
Aaron Roth,1
Vasiliki Soumpenioti,1
Apostolos Panagopoulos,1
Deepak Adhikari,1
Wei Jiang,2
Jinyu Zhan,1
Asmita Bhattarai,1
Aleksandra Slavković,1
Jeremy Seeman,1
Amber Hoenig,1
Kaushik Roy,2
Yaa Takyiwaa Acquaah,1
Sun Yi,1
Salil Desai,1
Yogesh K. Dwivedi,12
Nir Kshetri,5
Laurie Hughes,5
Emma Slade,1
Anand Jeyaraj,1
Arpan Kumar Kar,6
Abdullah M. Baabdullah,3
Alex Koohang,2
Vishnupriya Raghavan,1
Manju Ahuja,1
Hanaa Albanna,1
Mousa Ahmad Albashrawi,1
Adil S. Al-Busaidi,1
Janarthanan Balakrishnan,2
Yves Barlette,2
Sriparna Basu,2
Indranil Bose,1
Laurence Brooks,3
Dimitrios Buhalis,3
Lemuria Carter,1
Soumyadeb Chowdhury,2
Tom Crick,1
Scott W. Cunningham,1
Gareth H. Davies,2
Robert M. Davison,8
Rahul Dé,2
Denis Dennehy,1
Yanqing Duan,1
Rameshwar Dubey,2
Rohita Dwivedi,2
John S. Edwards,2
Carlos Flavián,2
Robin Gauld,1
Varun Grover,1
Mei‐Chih Hu,1
Marijn Janssen,6
Paul Jones,2
Iris Junglas,1
Sangeeta Khorana,1
Sascha Kraus,2
Kai R. Larsen,1
Paul Latreille,1
Sven Laumer,1
Tegwen Malik,1
Abbas Mardani,1
Marcello Mariani,1
Sunil Mithas,1
Emmanuel Mogaji,1
Jeretta Horn Nord,1
Siobhán O’Connor,2
Fevzi Okumus,1
Margherita Pagani,1
Neeraj Pandey,2
Savvas Papagiannidis,3
Ilias O. Pappas,2
Nishith Pathak,1
Jan Pries‐Heje,1
Ramakrishnan Raman,5
Nripendra P. Rana,7
Sven‐Volker Rehm,1
Samuel Ribeiro‐Navarrete,2
Alexander Richter,1
Frantz Rowe,2
Suprateek Sarker,2
Bernd Carsten Stahl,7
Manoj Tiwari,1
Wil van der Aalst,1
Viswanath Venkatesh,1
Giampaolo Viglia,3
Michael Wade,2
Paul Walton,1
Jochen Wirtz,2
Ryan Wright,1
Fariborz Farahmand,1
Eugene H. Spafford,1
David Valle-Cruz,1
Yong-Feng Ge,1
Elisa Bertino,3
Hua Wang,5
Jinli Cao,1
Yanchun Zhang,1
Rahul Jha,1
Mona Jha,1
David Butcher,1
Christian J. Brigham,1
James Berhalter,1
Abigail L. Centers,1
William M. Hunkapiller,1
T. P. Murphy,1
Eric Palm,1
Julia H. Smith,1
Shanhao Zhan,1
Lianfen Huang,1
Gaoyu Luo,1
Shaolong Zheng,1
Zhibin Gao,1
Han‐Chieh Chao,2
Serhiy Lyeonov,1
Veselin Drašković,1
Zuzana Kubaščíková,1
Veronaika Fenyves,1
Douglas Morgan Fullin Saldanha,1
Cleidson Nogueira Dias,1
Siegrid Guillaumon,1
Frank Cremer,1
Barry Sheehan,1
Michael Fortmann,1
Arash Negahdari Kia,1
Martin Mullins,1
Finbarr Murphy,1
Stefan Materne,1
Alika Guchua,3
Thornike Zedelashvili,3
Gela Giorgadze,1
Denis Mamba Kabala,1
Adel Hafiane,1
Laurent Bobelin,1
Raphaël Canals,1
Tang Lin,1
Yu-Sheng Su,1
Xiaoqi Li,1
Peng Jiang,1
Ting Chen,1
Xiapu Luo,2
Qiaoyan Wen,1
Sjoerd C. Doumen,1
Phuong H. Nguyen,1
Koen Kok,1
Sadia Azmin Anisha,1
Arkendu Sen,1
Chris Bain,1
Gary Brown,1
Andrew O. Metcalf,1
Alejandro Barredo Arrieta,1
Natalia Díaz-Rodríguez,5
Javier Del Ser,7
Adrien Bennetot,1
Siham Tabik,1
Alberto Barbado,1
Salvador García,2
Sergio Gil-López,1
Daniel Molina,3
Richard Benjamins,3
Raja Chatila,1
Francisco Herrera,7
Azza Allouch,1
Anis Koubâa,1
Basit Qureshi,1
Mohamed Amine Ferrag,8
Λέανδρος Μαγλαράς,10
Farrukh Aslam Khan,3
Xuhui Wang,1
Xuequn Wang,1
Zilong Liu,1
Wen Chang,1
Yuansi Hou,1
Zhihe Zhao,1
Rashid Mustafa,1
Nurul I. Sarkar,2
Mahsa Mohaghegh,1
Shahbaz Pervez,1
Manisha Padala,1
Sankarshan Damle,1
Sujit Gujar,1
Nurhadhinah Nadiah Ridzuan,1
Masairol Masri,1
Muhammad Anshari,2
Norma Latif Fitriyani,2
Muhammad Syafrudin,2
Santosh Kumar Birthriya,1
Priyanka Ahlawat,1
Ankit Kumar Jain,2
Stefano Palermi,1
Marco Vecchiato,1
Andrea Saglietto,1
David Niederseer,1
David Oxborough,1
Sandra Ortega‐Martorell,1
Iván Olier,1
Silvia Castelletti,1
Aaron L. Baggish,1
Francesco Maffessanti,1
Alessandro Biffi,1
Antonello D’Andrea,1
Alessandro Zorzi,1
Elena Cavarretta,1
Flavio D’Ascenzi,1
Maria Stoyanova,1
Yannis Nikoloudakis,1
Spyros Panagiotakis,1
Evangelos Pallis,1
Evangelos Markakis,3
Paul J. Taylor,2
Tooska Dargahi,2
Ali Dehghantanha,3
Reza M. Parizi,3
Kim‐Kwang Raymond Choo,10
Bhavik Anil Patel,1
Vamsi Krishna Yarlagadda,1
Niravkumar Dhameliya,1
Kishore Mullangi,1
Sai Charan Reddy Vennapusa,1
Frank W. Rockhold,1
Christina M. Bromley,1
Erin K. Wagner,1
Marc Buyse,1
Cynthia Cheung,1
Matthew J. Bietz,1
Kevin Patrick,2
Cinnamon S. Bloss,1
Jian Li,1
Tongbao Chen,1
Shaohua Teng,1
Muhammad Usman Tariq,2
Claudia Lanza,1
Abdelkader Lahmadi,1
Jérôme François,1
Victor Chang,8
B. A. Ahmed Ali,1
Lewis Golightly,4
Meghana Ashok Ganatra,1
Muhidin Mohamed,1
Lawal Abdulmutalib Babatunde,2
Edima David Etim,2
Iboro Akpan Essien,2
Emmanuel Cadet,2
Joshua Oluwagbenga Ajayi,2
Eseoghene Daniel Erigha,2
Ehimah Obuse,2
Hameed Chughtai,1
Petter Nielsen,1
Marco Marabelli,1
Federico Iannacci,1
van Marjolein Offenbeek,1
Monideepa Tarafdar,2
Manuel Trenz,1
Angsana A. Techatassanasoontorn,2
Antonio Díaz Andrade,1
Niki Panteli,3
Brij B. Gupta,5
Amrita Dahiya,1
Karim Abouelmehdi,1
Abderrahim Beni-Hessane,1
Hayat Khaloufi,1
Zaffar Ahmed Shaikh,2
Fahima Hajjej,3
Yeter Demir Uslu,1
Serhat Yüksel,1
Hasan Dınçer,1
Roobaea Alroobaea,1
Abdullah M. Baqasah,1
Uma Chinta,1
Elisha Chiware,1
Lara Skelly,1
Fodouop Kouam Arthur William,1
David Jones,1
Shiva Ghasemi,1
Denis Gračanin,1
Mohamed Azab,1
Li Li,4
Lin Yuan,1
Juanjuan Tian,1
Asadullah Tariq,2
Mohamed Adel Serhani,2
Farag Sallabi,2
Ezedin Barka,2
Tariq Qayyum,2
Heba M. Khater,1
Khaled Shuaib,2
Kuldeep Gurjar,1
Anshika Jangra,1
Hasnan Baber,1
Maidul Islam,1
Shabnam A. Sheikh,1
V. S. Prakash,1
P. Murugesan,1
P. Poongothai,1
B N Shivakumar,1
Pandi Vijayakumar,1
P. J. Shriidhar,1
Louise Corti,1
Veerle Van den Eynden,1
Lena Steinhoff,1
Kelly D. Martin,2
Wasswa Shafik,4
Harikha Manthena,1
Shaghayegh Shajarian,1
Jeffrey C Kimmell,1
Chris Tenove,1
Jordan Buffie,1
Spencer McKay,1
David Moscrop,1
Suman Thapaliya,1
Khushnaseeb Roshan,2
Aasim Zafar,2
Saerom Park,1
Seongmin Kim,1
Yeon-sup Lim,1
Merlinda Andoni,2
Valentin Robu,2
David Flynn,3
Simone Abram,1
Dale Geach,1
David Jenkins,1
Peter McCallum,1
Andrew Peacock,1
W. Alec Cram,1
John D’Arcy,1
Julia Ive,1
Akshita Maradapu Vera Venkata Sai,1
Chenyu Wang,1
Zhipeng Cai,1
Yingshu Li,1
Syed Hussain Ali Kazmi,4
Faizan Qamar,6
Rosilah Hassan,7
Kashif Nisar,3
Mohammed Azmi Al‐Betar,2
K. Fatema,1
Mehrin Anannya,2
Samrat Kumar Dey,2
Chunhua Su,2
Rashed Mazumder,2
Ramesh Nyathani,1
Pascal Thériault-Lauzier,1
Denis Corbin,1
Olivier Tastet,1
Élodie Labrecque Langlais,1
Bahareh Taji,1
Guson Kang,1
Aun‐Yeong Chong,1
Derek So,1
An Tang,1
Judy Wawira Gichoya,3
Sarath Chandar,1
Pierre-Luc Déziel,1
Julie Hussin,1
Samuel Kadoury,1
Robert Avram,1
Fang Li,1
Shengguo Wang,1
Zhi Gao,1
Ma Qing,1
Shan L. Pan,1
Yingying Liu,1
Chengchen Hu,1
Yuntao Wang,4
Han Liu,4
Zhendong Li,1
Zhou Su,5
Jiliang Li,1
Sandeep Pirbhulal,2
Sabarathinam Chockalingam,1
Ankur Shukla,2
Habtamu Abie,1
Sani M. Abdullahi,1
Sanja Lazarova‐Molnar,2
Haiou Cao,1
Enwa Felix Oghenemaro,1
Amaliya Latypova,1
Munthar Kadhim Abosaoda,1
Gaffar Sarwar Zaman,1
Anita Devi,1
Waqar M. Naqvi,1
Rohini Ganjoo,1
Michael Rowe,2
Aishwarya A. Pashine,1
Gaurav Mishra,1
Zishen Wan,1
Ashwin Sanjay Lele,1
Bo Yu,1
Shaoshan Liu,1
Yu Wang,2
Vijay Janapa Reddi,2
Cong Hao,1
Arijit Raychowdhury,1
Siona Listokin,1
Furqan Jameel,1
Muhammad Nabeel,1
Muhammad Ali Jamshed,1
Riku Jäntti,2
Chin Hui Hao,1
Presley K. Wesseh,1
Jin Wang,1
Hermas Abudu,1
Kingsley E. Dogah,1
David Iheke Okorie,1
Eric Evans Osei Opoku,1
Farrar Jonathan,1
BumHwi Kim,1
Kyuhyung Kim,1
Do‐Hyeun Kim,1
Hussain Mutlaq Alnajrani,1
Azah Anir Norman,1
Babiker Hussien Ahmed,1
Laurah Turner,1
Daniel A. Hashimoto,1
Shubha Vasisht,1
Verity Schaye,1
Metty Paul,1
Iman Almomani,2
Nazahah Rahim,1
Daria Shevtsova,1
Anam Ahmed,1
Iris W A Boot,1
Carmen Sanges,1
Michael Hudecek,1
John J. L. Jacobs,1
Simon Hort,1
Hubertus JM Vrijhoef,1
ALBERTI VALENTINA,1
ALONSO RAPOSO MARIA,1
ATTARDO CARMELO,1
AUTERI DAVIDE,1
RIBEIRO BARRANCO RICARDO,1
BATISTA E SILVA FILIPE,1
BENCZUR PETER,1
BERTOLDI PAOLO,1
BONO FLAVIO,1
BUSSOLARI IORIS,1
LOURO CALDEIRA SANDRA,1
CARLSSON JOHAN,1
CHRISTIDIS PANAYOTIS,1
CHRISTODOULOU ARIS,1
CIUFFO BIAGIO,1
CORRADO SARA,1
FIORETTI CARLOTTA,1
GALASSI MARIA CRISTINA,1
GALBUSERA LUCA,1
GAWLIK BERND,1
GIUSTI FRANCESCO,1
GOMEZ PRIETO JAVIER,1
GROSSO MONICA,1
MARTINHO GUIMARAES PIRES PEREIRA ANGELA,1
JACOBS CHRISTIAAN,1
KAVALOV BOYAN,1
KOMPIL MERT,1
KUCAS ANDRIUS,1
KONA ALBANA,1
LAVALLE CARLO,1
LEIP ADRIAN,1
LYONS LORCAN,1
MANCA ANNA RITA,1
MELCHIORRI MICHELE,1
MONFORTI-FERRARIO FABIO,1
MONTALTO VALENTINA,1
MORTARA BARBARA,1
NATALE FABRIZIO,1
PANELLA FRANCESCO,1
PASI GIULIO,1
PERPIÑA CASTILLO CAROLINA,1
PERTOLDI MARTINA,1
PISONI ENRICO,1
ROQUE MENDES POLVORA ALEXANDRE,1
RAINOLDI ALESSANDRO,1
REMBGES DIANA,1
RISSOLA GABRIEL JULIO,1
SALA SERENELLA,1
SCHADE SVEN,1
SERRA NATALIA,1
SPIRITO LAURA,1
TSAKALIDIS ANASTASIOS,1
SCHIAVINA MARCELLO,1
TINTORI GUIDO,1
VACCARI LORENZINO,1
VANDYCK TOON,1
VANHAM DAVY,1
VAN HEERDEN SJOERDJE,1
VAN NOORDT COLIN,1
VESPE MICHELE,1
VETTERS NADJA,1
VILAHUR CHIARAVIGLIO NADIA,1
VIZCAINO MARIA PILAR,1
VON ESTORFF ULRIK,1
ZULIAN GRAZIA,1
Meghna Raj,1
N Harshini.,1
Shashank Gupta,1
Oshin Rawlley,1
Lavika Goel,1
Sidney K. D’Mello,1
Louis Tay,1
Rosy Southwell,1
Ahmed M. Tawfik,1
Ayman Al-Ahwal,1
Adly S. Tag Eldien,1
Hala H. Zayed,1
Nasreen Anjum,1
Hani Alshahrani,2
Asadullah Shaikh,2
Mahreen-ul-Hassan,1
Mahreen Kiran,1
Shah Raz,1
Abu Alam,1
Haili Li,1
Genia Kostka,1
Anu Bradford,1
Iman Vakilinia,2
Mohammad Mahdi Khalili,1
Ming Li,1
Arief Bachtiar,1
Suhardi Suhardi,1
