Id,Frequency
software-defined networking,17
biometrics,11
sustainable development,52
digital media,5
prioritization,4
translational research informatics,2
engineering informatics,1
informatics,12
health administration informatics,2
association rule learning,2
reusability,2
distributed learning,6
point (geometry),12
scada,14
security management,8
medical diagnosis,6
maintainability,2
artifact (error),3
open standard,1
code (set theory),15
user engagement,1
in vitro fertilisation,1
fertility,2
human fertilization,1
andrology,1
pregnancy,2
anatomy,1
vickrey–clarke–groves auction,1
bid shading,1
unique bid auction,1
english auction,1
collusion,2
generalized second-price auction,1
auction theory,1
common value auction,1
hospitality industry,4
co-creation,3
electroencephalography,5
watermark,2
digital watermarking,2
embedding,9
proof-of-work system,2
freedom of information,2
web application,13
misinformation,17
attrition,1
human resource management,17
human resources,7
retention management,1
dentistry,3
dependability,8
credential,4
cyberinfrastructure,4
middleware (distributed applications),2
suite,5
mainstream,14
artificial general intelligence,6
empathy,4
timeline,7
criminology,35
event (particle physics),10
security engineering,4
affordance,2
personalized medicine,15
precision medicine,31
pharmacogenomics,1
bioinformatics,42
pharmacology,10
custodians,3
agency (philosophy),16
united states national security agency,2
national security,23
creativity,21
humanities,10
scarcity,16
bioethics,11
relation (database),14
demographics,3
consumer privacy,18
civil society,4
journalism,2
public health surveillance,2
stage (stratigraphy),1
authorization,5
ranking (information retrieval),8
android (operating system),17
counterfeit,1
paradigm shift,11
white paper,2
vision,5
theology,21
bosnia herzegovina,1
ethnology,2
alliance,5
postpartum depression,1
netflow,3
adversary model,1
class (philosophy),16
unobservable,2
dignity,8
equity (law),26
exposome,1
occupational exposure,1
environmental research,1
environmental protection,2
regret,1
shame,2
hrhis,2
health information technology,4
health policy,11
measure (data warehouse),7
simple (philosophy),6
data management plan,5
scholarly communication,9
gnss applications,1
spoofing attack,12
global positioning system,10
ideology,3
faith,1
conviction,3
currency,7
monetary economics,10
computer science and engineering,3
computer software,2
engineering research,3
computer applications,3
research program,3
information engineering,3
computer technology,3
science and engineering,3
information science,4
stress (linguistics),2
firmware,2
critical infrastructure,48
authentication protocol,5
image processing,7
plant disease,1
biotechnology,3
boltzmann machine,2
cover (algebra),2
abstraction,4
enthusiasm,7
automatic summarization,5
pace,22
healthcare industry,13
public transport,2
traffic flow (computer networking),1
sustainable transport,3
advanced traffic management system,3
transport network,1
flow network,3
intelligent decision support system,5
data integration,15
traffic congestion,4
adaptive system,1
smart system,2
transportation planning,2
safeguarding,45
nexus (standard),12
factor (programming language),1
sophistication,9
christian ministry,1
confounding,1
national health insurance,1
data source,3
pharmacoepidemiology,1
family medicine,25
medical prescription,3
black box,12
distribution (mathematics),6
smart power,1
ensemble learning,20
dermatology,4
traditional medicine,2
profiling (computer programming),18
joint (building),1
constant false alarm rate,10
genetic algorithm,3
interdependence,12
manufacturing,12
bridge (graph theory),14
cross-platform,2
data visualization,6
data transformation,2
transformation (genetics),28
data warehouse,4
default gateway,2
modbus,5
communications protocol,8
root cause analysis,1
genomics,17
dementia,3
exome sequencing,2
exome,1
genome,17
mutation,2
day to day,1
present day,1
joins,1
heterogeneous network,2
sensor fusion,2
internationalization,2
excellence,7
diplomacy,4
key management,2
group (periodic table),3
organic chemistry,16
digital humanities,3
diffusion,2
disinformation,11
polarization (electrochemistry),1
political communication,1
physical chemistry,2
mentorship,2
gender balance,1
gender studies,6
forensic science,4
accident (philosophy),1
markov decision process,2
dynamic bayesian network,1
rehabilitation,2
bayesian probability,4
markov process,2
machine translation,5
translation (biology),3
translation studies,1
natural language processing,57
messenger rna,3
social network (sociolinguistics),5
privacy software,22
categorization,23
credence,1
industrial internet,24
aviation,6
general data protection regulation,50
data protection directive,8
right to be forgotten,4
european union law,8
economic policy,26
production (economics),12
development environment,1
cluster (spacecraft),1
normative,25
philosophy of science,21
philosophy of mind,2
applied ethics,11
ethics of technology,10
business ethics,21
information ethics,28
practical reason,1
normative ethics,5
meta-ethics,10
deontological ethics,2
industrial revolution,14
agrarian society,1
gender bias,2
trilemma,1
financial asset,1
alternative investment,1
financial economics,9
exchange rate,1
transaction cost,2
brand management,1
brand equity,2
brand awareness,1
consumer advocacy,1
employer branding,1
brand experience,1
brand loyalty,1
product management,1
new product development,4
matching (statistics),7
voter registration,1
voting,12
construction engineering,9
poverty,4
discipline,8
information age,1
administration (probate law),7
e-governance,3
secret sharing,5
spamming,4
cluster analysis,16
drug discovery,5
docking (animal),1
structural bioinformatics,1
protein structure,1
partition (number theory),2
combinatorics,12
artificial nutrition,1
parenteral nutrition,1
employability,1
image quality,1
maturity (psychological),13
focus group,8
proxy re-encryption,1
block (permutation group theory),13
proxy (statistics),5
supply chain management,1
multimodal transport,1
intermediary,3
sociotechnical system,13
doppler ultrasound,1
radiology,18
mobile telephony,6
performance indicator,2
strategic planning,4
market research,1
dozen,1
silver bullet,1
guideline,6
productivity,25
financial market,5
financial regulation,6
homomorphic encryption,20
permission,7
biomanufacturing,1
safeguard,13
biochemical engineering,1
multiple-criteria decision analysis,4
analytic hierarchy process,6
rigour,3
mental health service,1
test data,2
test (biology),12
independent and identically distributed random variables,1
random variable,3
metacognition,4
self-reflection,1
reflection (computer programming),4
petroleum industry,3
fossil fuel,3
environmental engineering,11
course (navigation),2
action (physics),16
scientometrics,3
period (music),2
quartile,1
confidence interval,1
acoustics,30
principal (computer security),5
haystack,1
eavesdropping,3
jamming,2
layer (electronics),6
communications system,6
vehicle-to-vehicle,1
civil engineering,38
password,15
one-time password,2
password strength,2
password policy,2
s/key,2
zero-knowledge password proof,1
social engineering (security),13
globalization,6
ethical code,3
ethical decision,9
information assurance,8
proportionality (law),2
grounded theory,6
communications satellite,2
satellite,2
adjudication,2
center of excellence,1
2019-20 coronavirus outbreak,32
severe acute respiratory syndrome coronavirus 2 (sars-cov-2),29
center (category theory),1
virology,35
outbreak,34
crystallography,1
dilemma,7
feedforward neural network,1
feed forward,1
encoding (memory),3
control engineering,8
self driving,2
asynchronous communication,3
opportunism,1
ambidexterity,2
training (meteorology),13
meteorology,23
xml database,1
xml,1
computational thinking,1
medical imaging,10
particle swarm optimization,6
ant colony optimization algorithms,2
metaheuristic,1
consistency (knowledge bases),10
biomedical text mining,1
text mining,1
backdoor,2
power grid,3
power transmission,1
security controls,10
damages,6
extortion,1
customer relationship management,2
personalized marketing,3
malware analysis,11
literacy,15
dynamism,1
equivalence (formal languages),1
discrete mathematics,4
advanced driver assistance systems,1
emotion recognition,2
emotion detection,1
pedestrian,2
trajectory,2
offensive,10
assisted living,2
environmental stewardship,1
monetization,2
typology,7
conceptualization,8
extension (predicate logic),3
commerce,11
grand challenges,7
active queue management,1
multihoming,1
network congestion,1
multipath tcp,1
transmission control protocol,2
throughput,5
multipath propagation,1
packet loss,1
network performance,1
internet protocol,1
cloud testing,6
privacy protection,19
license,8
sample (material),19
chromatography,20
pleasure,2
color image,1
ycbcr,1
color histogram,1
color normalization,1
closed captioning,5
classifier (uml),28
gesture,1
sign language,1
gesture recognition,1
sign (mathematics),1
convolution (computer science),2
fake news,2
plaintiff,1
redress,2
class action,1
securities fraud,1
actuarial science,22
supreme court,3
masking (illustration),3
agile software development,7
project management,3
project manager,1
project management triangle,2
hilbert space,1
quantum computer,11
quantum,21
cryptosystem,7
quantum cryptography,9
quantum key distribution,3
quantum information,8
cinahl,6
semi-structured interview,1
objectivity (philosophy),2
content analysis,5
research design,2
physical security,10
pipeline (software),5
water resources,3
healthcare delivery,6
workforce,19
patient safety,3
sketch,3
data anonymization,10
installation,1
benchmarking,14
naive bayes classifier,18
encoder,5
autoencoder,19
transformer,9
language model,6
environmental security,2
mental illness,3
criminal justice,7
motion planning,1
discourse analysis,1
intelligence analysis,3
backup,2
search engine indexing,1
arms race,2
economic history,2
sleep medicine,1
sleep (system call),1
position statement,1
behavioral medicine,1
sleep disorder,1
insomnia,1
terminology,8
lithuanian,1
scaling,5
resource management (computing),5
visibility,4
signature (topology),4
digital signature,6
cross-sectional study,3
medical record,9
intersection (aeronautics),15
personalized learning,9
open learning,5
teaching method,10
cooperative learning,5
control system security,1
mashup,2
human health,1
environmental data,2
web standards,3
adaboost,7
digital government,5
epidemiology,5
data stream mining,3
health records,10
neutrality,1
inequality,6
diversity (politics),14
information security audit,2
standard of good practice,2
information security management system,4
scholarship,30
vetting,2
scientific misconduct,2
bioconductor,1
health informatics tools,1
byzantine fault tolerance,3
fault tolerance,5
distributed transaction,1
transaction processing,1
digital library,6
digital curation,1
poetry,6
literature,19
financial transaction,2
money laundering,4
value chain,3
profit (economics),6
economic geography,7
geomatics,1
geospatial analysis,4
remote sensing,4
nothing,1
consumer behaviour,6
west bengal,1
socioeconomics,1
interface (matter),6
interface design,1
user interface,3
bubble,6
maximum bubble pressure method,6
ontology,11
upper ontology,1
ontology components,1
ontology alignment,1
fandom,1
performativity,2
aesthetics,6
popular culture,1
queer,1
indonesian,3
financial system,16
pillar,2
cobit,1
social responsibility,10
stroke (engine),1
consensus conference,3
dataflow,2
parallel computing,6
mobile edge computing,8
augmented reality,11
radio access network,3
cellular network,6
mobile station,3
base station,8
biobank,16
urban planning,11
scripting language,5
curse of dimensionality,5
prior authorization,1
diabetes mellitus,3
endocrinology,5
public sector,15
spectrum (functional analysis),2
complaint,1
track (disk drive),2
skin cancer,4
cancer detection,1
spectral imaging,1
cancer imaging,1
cancer,11
electronic data capture,1
electronic data,1
multicast,1
credentialing,2
concordance,1
united states medical licensing examination,1
licensure,1
medical school,1
underpinning,12
regularization (linguistics),1
false positive rate,9
feature learning,2
learning analytics,15
ethnography,1
loan,3
default,2
non-performing loan,1
overfitting,7
accreditation,5
granularity,2
inference engine,1
declaration,2
public engagement,2
science policy,3
european research area,1
public policy,18
public interest,2
phenomenon,4
organizational change,1
organizational studies,1
organization development,1
deep web,2
crime analysis,4
credit risk,2
reflective practice,1
sustainable city,5
urbanity,1
milestone,3
reactionary,1
insulin delivery,1
safer,10
urbanization,8
veterans affair_datas,2
transactive memory,2
prosumer,4
distributed generation,18
energy market,4
information industry,1
information revolution,1
ftc fair_data information practice,6
privacy law,16
enforcement,18
scientific literature,3
disappointment,1
mulligan,1
constructive,1
development plan,1
tree traversal,1
decoy,1
file system,5
receptor,2
identity management,12
vehicle information and communication system,1
limiting,5
road traffic,1
service delivery framework,8
public service,5
neurology,1
closing (real estate),4
trace (psycholinguistics),5
generative model,19
sovereignty,23
pharmacy,4
descriptive statistics,5
natural resource economics,10
limit (mathematics),2
grading (engineering),11
deep integration,1
legal education,1
smart manufacturing,5
advanced manufacturing,3
chatbot,14
panel discussion,1
moderation,9
predictability,1
formative assessment,4
hybridity,2
privacy laws of the united states,4
boycott,1
corporate social responsibility,10
can bus,2
search and rescue,3
random oracle,1
plaintext,2
merkle tree,3
hash chain,3
digital divide,8
digital literacy,4
internet access,2
technology integration,3
digital learning,4
educational technology,18
flourishing,1
humanity,6
metaphysics,2
traumatic stress,1
clinical psychology,5
generalization,9
time delay neural network,1
data center,6
identity (music),17
predictive power,4
employee engagement,4
headway,1
sustainable energy,4
critical infrastructure protection,12
transformational leadership,4
noma,2
single antenna interference cancellation,1
spectral efficiency,2
interference (communication),2
telecommunications link,2
argument (complex analysis),6
pragmatism,1
positive economics,7
neglect,2
ecosystem,7
forensic accounting,2
prosperity,8
terrorism,12
crisis management,4
lifelong learning,4
linear discriminant analysis,1
looming,1
social sustainability,4
investment (military),9
debt,1
risk factor,3
knowledge extraction,3
socialization,1
accession,1
transition economy,1
flow (mathematics),2
information flow,2
null hypothesis,1
significant difference,1
cheating,4
financial intermediary,2
intermediation,4
capital market,1
single market,2
international economics,1
new business development,2
interpretation (philosophy),5
cube (algebra),1
consensus algorithm,3
modalities,15
industrial engineering,6
entertainment,5
video game development,1
game developer,1
entertainment industry,1
game design,1
traumatic brain injury,1
societal impact of nanotechnology,5
occupational safety and health,1
years of potential life lost,1
injury prevention,1
poison control,7
life expectancy,2
traffic classification,4
traffic generation model,2
data discovery,2
expediting,1
beneficence,9
mechanism (biology),4
digital economy,20
nonprobability sampling,3
workload,8
neurofeedback,1
skin conductance,1
heart rate variability,1
neurophysiology,1
audiology,3
heart rate,1
biomedical engineering,2
blood pressure,1
privacy rights,1
electronic surveillance,1
data type,5
information repository,1
biological data,4
disparate system,1
shared resource,3
data mapping,1
information dissemination,2
data structure,1
data acquisition,1
radiology information systems,1
teleradiology,1
telemedicine,26
gadget,1
source lines of code,1
source code,5
software system,5
secure coding,4
collection development,1
organizational structure,2
health services research,1
flooding (psychology),3
local government area,1
county government,1
water resource management,1
categorical variable,2
aggregate data,1
microdata (statistics),3
linear regression,1
regression analysis,2
aggregate (composite),3
standard error,1
census,3
ethos,1
omnichannel,1
digital ecosystem,4
information governance,14
academic integrity,5
plagiarism detection,4
academic freedom,2
loyalty,4
experiential learning,7
consumption (sociology),3
multi-factor authentication,3
sharing economy,5
natural language understanding,4
natural language,7
enterprise system,1
containment (computer programming),3
presentation (obstetrics),3
directive,6
private security,1
peer-to-peer,3
eye,1
optometry,2
storm,2
population health,4
pain management,1
anesthesia,3
segmentation,6
image segmentation,5
scale-space segmentation,2
epidemiological surveillance,1
challenge–response authentication,1
ethical dilemma,1
islam,5
morality,2
scheduling (production processes),10
simulated annealing,1
download,2
majority rule,1
lookup table,1
design flow,1
data flow diagram,2
scientific integrity,1
harmonization,11
research integrity,2
scientific evidence,2
hopfield network,1
outlier,3
rabbit (cipher),1
firewall (physics),3
horizon,2
charged black hole,3
extremal black hole,1
freedom of expression,3
expression (computer science),3
human rights,12
attendance,1
object (grammar),7
object detection,2
sentiment analysis,3
stream processing,1
element (criminal law),4
wideband,1
antenna (radio),3
electronic engineering,4
air quality index,1
air pollution,1
index (typography),4
pollution,1
air pollution index,1
constitution,3
discoverability,2
pangaea,1
structural basin,1
permian,1
food and drug administration,1
cipher,1
mandate,6
economic system,14
question answering,3
philosophy of technology,9
brother,1
warrant,1
lottery,1
technology management,1
product innovation,1
preference,2
welfare,4
microinsurance,1
preprocessor,13
data pre-processing,7
information society,2
solidarity,2
interpersonal communication,5
educational research,3
visual search,1
management information systems,14
snowball sampling,1
checklist,9
misconduct,2
air transport,2
transport infrastructure,1
latent variable,1
presumption,1
strategic intelligence,1
sociocultural evolution,4
sociocultural perspective,1
consciousness raising,1
capability approach,2
teacher education,3
diffie–hellman key exchange,1
authenticated key exchange,1
sizing,2
process engineering,2
situated,2
computer ethics,2
professional ethics,3
engineering education,2
core knowledge,1
core (optical fiber),9
experiential education,1
active learning (machine learning),5
content (measure theory),9
false positive paradox,6
fuzzy logic,7
work productivity,2
work performance,1
decision-making,1
decision quality,1
job satisfaction,3
predictive value,1
laziness,1
prudence,1
through-the-lens metering,2
entropy (arrow of time),3
trust management (information system),5
lens (geology),2
petroleum engineering,2
open source,7
rss,1
recommender system,6
noise (video),4
vocational education,1
spillover effect,2
interim,1
precision and recall,5
binary classification,7
real world data,1
distrust,7
portfolio,4
institution,7
singularity,1
complex system,2
grid computing,1
semiotics,1
anomaly-based intrusion detection system,6
swot analysis,6
financial innovation,5
financial stability,3
expansive,5
compressive strength,5
e-government,2
linkage (software),2
learning object,1
code of practice,1
operationalization,10
dependency (uml),6
legislature,9
heart failure,1
information literacy,2
empowerment,6
attraction,1
security council,1
international security,4
oceanography,10
great rift,4
far side of the moon,1
realization (probability),2
moral responsibility,2
solidity,2
electronic voting,8
chain (unit),2
knowledge base,3
empirical evidence,5
base (topology),1
professional development,1
longitudinal data,1
